GeneID	GSM8122035	GSM8122036	GSM8122037	GSM8122038	GSM8122039	GSM8122040	GSM8122042	GSM8122043	GSM8122044	GSM8122045	GSM8122046	GSM8122047	GSM8122048	GSM8122049	GSM8122050
105374102	0	0	0.1712	0	0	0.1158	0.2079	0	0	0	0.1285	0	0	0.1553	0.5739
22820	58.04	63.55	58.69	57.65	35.7	74.82	41.94	87.49	96.37	75.61	82.27	90.5	99.07	69.33	97.48
102465496	0	0.7789	2.993	1.448	1.016	1.012	0.9092	1.071	0	1.861	0	1.407	1.447	0	2.151
56941	4.418	7.907	14.66	7.326	20.66	14.34	18.69	13.23	14.58	14.2	18.82	22.57	7.892	11.52	13.26
8971	15.33	20.34	14.13	17.74	55.36	30.36	37.44	38.3	38.98	27.85	34.72	25.74	13.5	21.68	19.05
339942	1.822	1.218	1.204	0.6472	2.996	0.8143	1.422	1.149	1.441	1.081	1.657	0.6601	0.3664	0.7584	0.4806
132241	1.391	2.129	1.94	2.867	5.89	2.624	3.514	3.333	2.814	2.5	2.966	4.941	1.387	2.304	2.332
677797	0	0.5491	1.055	2.042	2.865	1.427	1.282	0.7554	2.525	1.968	0.7922	2.976	0.3401	2.393	1.011
90288	0.056	0.3523	0.05208	0.07559	2.457	0.2289	0.174	0.1305	0.1869	0.1619	0.1759	0.8077	0.04196	0.02362	0.08731
8930	7.54	7.932	9.039	14.73	19.52	12.92	18.29	17.12	18.52	15.76	19.46	33.52	15.66	10.45	15.39
55764	1.65	2.108	1.073	2.548	4.176	3.038	4.369	2.598	3.46	2.449	2.392	3.703	2.054	2.78	1.76
6010	0	0	0.0265	0	0	0.03584	0	0	0	0	0	0	0	0	0
132243	0	0	0	0.09888	0.1387	0.01975	0	0	0.06987	0.05445	0.04383	0.01372	0.04704	0.05297	0
23129	4.322	7.569	4.468	8.956	10.65	13.52	7.999	10.34	9.259	8.007	17.2	5.697	4.581	5.917	7.97
23023	1.675	14.97	18.19	4.482	5.341	2.991	6.802	5.067	4.56	3.616	9.757	10.12	2.27	6.36	6.225
100507032	0.3007	0.5675	0.2097	0.5074	0.08541	0.2837	0.4077	0.1501	0.5019	0.2086	0.8502	1.262	0.1217	0.1141	0.5425
7200	0	0	0	0	0.2553	0	0	0.06731	0	0	0	0	0	0	0
644974	0.07715	0.504	0.1076	0.6248	0.6574	0.5095	0.6537	0.1541	0.5151	0.0669	0.08079	1.012	0.1387	0.4881	0.05155
105374105	0	0.1942	0	0.06019	0.08445	0.1683	0	0	0.09924	0	0.09339	0	0.08018	0.3386	0.05959
729375	1.739	1.587	0.3466	1.811	3.2	0.7501	2.316	0.5955	1.604	0.4309	0.7285	3.03	0.4691	1.258	0.4316
105374104	0.0254	0	0.07086	0.1714	1.106	0.09585	2.798	0.05073	0.1696	0	0	0.06661	0.0685	0.09642	0.1358
105374103	0	0	0	0	0	0	0	0	0.04716	0	0	0	0	0	0
107986131	0	0	0.05556	0	0.3771	0	0.0675	0	0.08864	0	0	0	0	0	0
107986133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
646300	0.06887	0.09999	0.08006	0.04648	0.1522	0.01083	0.107	0.02292	0.01277	0.05972	0.01202	0.02258	0.03612	0.04357	0.02301
105374106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256076	0	0	0.006897	0	0	0	0	0	0	0	0	0.03242	0.004445	0	0.01982
131873	0.02308	0.06702	0.02012	0.05063	0.0601	0.1143	0.2053	0.01729	0.0642	0.03002	0.03021	0.07187	0.07003	0.04746	0.1041
30849	2.254	2.587	5.761	4.91	12.13	6.803	6.981	5.38	6.042	7.09	6.256	5.882	4.467	7.918	7.059
107986023	0	0	0.0609	0.07857	0	0.1098	0.3206	0	0	0	0.06095	0.05724	0	0	0.07778
105374107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105374108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27032	3.751	4.864	5.571	5.729	8.1	7.472	12.69	11.4	8.813	9.273	12.46	15.41	6.264	8.109	10.8
28990	2.228	2.351	2.638	3.13	6.5	2.64	4.895	3.104	2.969	3.549	3.038	5.554	2.096	3.032	2.977
79858	0.12	0.1278	0.1228	0.0648	0.09091	0.1208	0.2848	0.2077	0.2493	0.111	0.3184	0.3357	0.259	0.1012	0.3101
107986024	0	0	0	0	0	0	0.03632	0	0	0	0	0.0281	0	0	0
